split,train_epochs,test_epochs,accuracy,macro_f1,weighted_f1,Wake_f1,N1_f1,N2_f1,N3_f1,REM_f1
1,78191,19981,0.6849507031680097,0.6602684659369913,0.6854533454556703,0.8336155800169348,0.4104145255224392,0.6796161947109759,0.7846849392483752,0.5930110901862314
2,78468,19704,0.7302070645554202,0.6966015078456923,0.7281173902480523,0.8647089129314787,0.3969335604770017,0.6996770721205597,0.826313873042845,0.6953741206565764
3,78172,20000,0.6937,0.6668852297369573,0.6981419309732699,0.8098422712933754,0.40448199853049227,0.7100451199240085,0.824159766195811,0.5858969927410992
4,78134,20038,0.7033137039624713,0.6712310205480989,0.706657628708852,0.8282149712092131,0.35915631776069384,0.7036426569968683,0.8485923823042347,0.6165487744694851
5,78308,19864,0.6840012082158679,0.6561908610006404,0.6866800526248173,0.8068142310812377,0.37632776934749623,0.6773162939297125,0.8261185006045949,0.5943775100401606
