split,accuracy,macro_f1,weighted_f1
1,0.6899554576848006,0.6692311264798164,0.6895795268896515
2,0.7409155501421031,0.7087877772920629,0.7382345045053909
3,0.7149,0.6897058441870259,0.7172081306068342
4,0.7159896197225272,0.6852153881921746,0.7190792222341759
5,0.7038864277084173,0.6797142725610927,0.7050031139423766
