,pred_Wake,pred_N1,pred_N2,pred_N3,pred_REM
true_Wake,3681.4,383.2,101.8,15.8,140.0
true_N1,396.0,1076.8,613.0,20.8,438.0
true_N2,239.2,703.8,4305.0,571.2,604.4
true_N3,49.4,8.2,638.2,3340.2,42.8
true_REM,119.0,413.4,200.4,16.4,1799.0
