,pred_Wake,pred_N1,pred_N2,pred_N3,pred_REM
true_Wake,0.8502195897735374,0.08953865717842374,0.023613021746635876,0.0036956887425906152,0.032933042558812436
true_N1,0.155038132940523,0.4221921071337273,0.24190107216250706,0.008191188214954365,0.17267749954828834
true_N2,0.036944966656787245,0.10920904387901484,0.6706588654627337,0.08913378110565844,0.09405334289580575
true_N3,0.012329118453327568,0.002061731213560533,0.15758981434805094,0.8175344617360547,0.010484874249006092
true_REM,0.047426983250169585,0.16218057292908122,0.0774606263000828,0.006164415382994575,0.7067674021376719
