,pred_Wake,pred_N1,pred_N2,pred_N3,pred_REM
true_Wake,0.8438892736075643,0.0959656804894135,0.02388452774139159,0.002803492970595378,0.0334570251910353
true_N1,0.15116799490908064,0.40250229160432127,0.2473004251136469,0.010352490232074426,0.1886767981408768
true_N2,0.03734139798510567,0.11902335927124641,0.6621434466687978,0.09337488352855816,0.08811691254629206
true_N3,0.014068497101735467,0.0019412692113461374,0.16093849921359443,0.8110410292171721,0.012010705256151942
true_REM,0.058786285563911765,0.19970676398425788,0.07450702623700678,0.007556035218587762,0.6594438889962358
