split,train_epochs,test_epochs,accuracy,macro_f1,weighted_f1,Wake_f1,N1_f1,N2_f1,N3_f1,REM_f1
1,78191,19981,0.6899554576848006,0.6692311264798164,0.6895795268896515,0.8273418776701053,0.42991304347826087,0.6723168316831684,0.794711401762866,0.6218724778046812
2,78468,19704,0.7409155501421031,0.7087877772920629,0.7382345045053909,0.8654124457308249,0.4157986111111111,0.711008034457053,0.8331719128329298,0.7185478823283956
3,78172,20000,0.7149,0.6897058441870259,0.7172081306068342,0.8254847645429363,0.4433706996521067,0.7220086308356218,0.8337190888049701,0.6239460370994941
4,78134,20038,0.7159896197225272,0.6852153881921746,0.7190792222341759,0.8389043079522143,0.38283433133732536,0.7139743279244369,0.8559108875314408,0.6344530862154559
5,78308,19864,0.7038864277084173,0.6797142725610927,0.7050031139423766,0.8193533270852859,0.4244322631166797,0.6849740932642487,0.8297465327594452,0.6400651465798045
