class,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,support_mean
N1,0.4175440960206843,0.030690631777220864,0.42219210713372723,0.025900899912999268,0.4192697897390968,0.022695679931322283,2544.6
N2,0.7345459655514697,0.02008302998846552,0.6706588654627337,0.03036956744625771,0.7008563836329058,0.021150101722344206,6423.6
N3,0.8425777764693588,0.012804962972698666,0.8175344617360549,0.0392173727117613,0.8294519647383304,0.02201768858877819,4078.8
REM,0.5987296420659808,0.046254607352020645,0.7067674021376719,0.041022208824782976,0.6477769260055662,0.04026312273705876,2548.2
Wake,0.823409865233058,0.03750279775866991,0.8502195897735373,0.04413087201102158,0.8352993445962733,0.01826004762249092,4322.2
