feature_type,importance_positive
delta_power,0.26463000412856846
alpha_power,0.18743612907076257
theta_power,0.13023047296615456
beta_power,0.11615335073451782
std,0.045782202273543925
energy,0.021558292361073227
max,0.011192633802723706
ptp,0.010056469570979231
median,0.0077488542138809844
min,0.004976278407925893
mean,0.004462308475212673
