l2_regularization,learning_rate,max_iter,max_leaf_nodes,accuracy,macro_f1
0.1,0.08,300,31,0.6849507031680097,0.6602684659369913
0.0,0.08,300,15,0.6821980881837746,0.6594336200645192
0.0,0.05,300,31,0.6815474700965918,0.6584785711673559
0.1,0.05,300,31,0.6807967569190732,0.6573990618233854
0.1,0.08,300,15,0.6806466142835694,0.6573012899367694
0.0,0.08,200,15,0.6783944747510134,0.6562225723450127
0.0,0.05,200,31,0.6768930483959762,0.6554123333448652
0.0,0.08,300,31,0.6804464241028978,0.6553386003434213
0.1,0.08,200,31,0.6797958060157149,0.6552178591668432
0.0,0.08,200,31,0.6782443321155097,0.6545779415021997
0.1,0.05,300,15,0.6771933336669836,0.653979645064728
0.0,0.05,300,15,0.6765427155798008,0.6535079995693022
0.0,0.03,300,31,0.675892097492618,0.6529295188688268
0.1,0.08,200,15,0.6754416695861069,0.652760438816051
0.1,0.05,200,31,0.6751413843150993,0.6524719005637036
0.1,0.03,300,31,0.674741003953756,0.6518796534760765
0.1,0.05,200,15,0.6733897202342225,0.6496138581156289
0.1,0.03,300,15,0.6729392923277113,0.6495792963845677
0.0,0.03,300,15,0.6719883889695211,0.6486131517330562
0.0,0.03,200,31,0.6707372003403234,0.6480341279847497
0.1,0.03,200,31,0.6704369150693158,0.6474963070229368
0.0,0.05,200,15,0.6710875331564987,0.6471742151218133
0.1,0.03,200,15,0.6643811621039988,0.6401225312438292
0.0,0.03,200,15,0.6630298783844653,0.6394017048796681
