class,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,support_mean
N1,0.37828578578029093,0.027720702973016056,0.40250229160432127,0.026401511865095626,0.38946283432762463,0.021280127378192563,2544.6
N2,0.7299143313739004,0.02482427214836792,0.6621434466687977,0.020277224043268677,0.694059467536425,0.01472988523453229,6423.6
N3,0.8340380221363344,0.012684035360297335,0.8110410292171719,0.04045630781822566,0.8219738922791722,0.023128993089448293,4078.8
REM,0.5809602329455956,0.05268654580834111,0.6594438889962358,0.04601944923771714,0.6170416976187105,0.04526958031144468,2548.2
Wake,0.815760419905329,0.028133104348679838,0.8438892736075643,0.048072241356592466,0.8286391933064479,0.023214339944341557,4322.2
